Country of Origin,Airline,Number of Countries,Number of Destinations,Countries Served,Main Airports Served
Germany,Lufthansa,77,229,"Albania, Angola, Argentina, Armenia, Australia, Austria, Bahrain, Bangladesh, Barbados, Belgium, Benin, Bolivia, Bosnia and Herzegovina, Brazil, Bulgaria, Burkina Faso, Canada, Cape Verde, Chile, China, Colombia, Costa Rica, Croatia, Cuba, Curaçao, Cyprus, Czech Republic, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Ethiopia, Finland, France, French Guiana, Gabon, Gambia, Germany, Ghana, Greece, Guatemala, Guinea, Guyana, Haiti, Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Ivory Coast, Jamaica, Japan, Jordan, Kenya, Kuwait, Latvia, Lebanon, Liberia, Lithuania, Luxembourg, Malaysia, Maldives, Malta, Martinique, Mauritius, Mexico, Moldova, Mongolia, Montenegro, Morocco, Mozambique, Namibia, Nepal, Netherlands, New Zealand, Nicaragua, Nigeria, North Macedonia, Norway, Oman, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, Rwanda, Saudi Arabia, Senegal, Serbia, Seychelles, Singapore, Slovakia, Slovenia, South Africa, South Korea, Spain, Sri Lanka, Suriname, Sweden, Switzerland, Taiwan, Tanzania, Thailand, Trinidad and Tobago, Tunisia, Turkey, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States, Uruguay, Uzbekistan, Venezuela, Vietnam, Zambia","Albania: Tirana International Airport (TIA), Angola: Quatro de Fevereiro Airport (LAD), Argentina: Ministro Pistarini International Airport (EZE), Armenia: Zvartnots International Airport (EVN), Australia: Sydney Kingsford Smith Airport (SYD), Austria: Vienna International Airport (VIE), Bahrain: Bahrain International Airport (BAH), Bangladesh: Shahjalal International Airport (DAC), Barbados: Grantley Adams International Airport (BGI), Belgium: Brussels Airport (BRU), Benin: Cadjehoun Airport (COO), Bolivia: El Alto International Airport (LPB), Bosnia and Herzegovina: Sarajevo International Airport (SJJ), Brazil: São Paulo/Guarulhos International Airport (GRU), Bulgaria: Sofia Airport (SOF), Burkina Faso: Thomas Sankara International Airport Ouagadougou (OUA), Canada: Toronto Pearson International Airport (YYZ), Cape Verde: Nelson Mandela International Airport (RAI), Chile: Arturo Merino Benítez International Airport (SCL), China: Beijing Capital International Airport (PEK), Colombia: El Dorado International Airport (BOG), Costa Rica: Juan Santamaría International Airport (SJO), Croatia: Zagreb Airport (ZAG), Cuba: José Martí International Airport (HAV), Curaçao: Curaçao International Airport (CUR), Cyprus: Larnaca International Airport (LCA), Czech Republic: Václav Havel Airport Prague (PRG), Denmark: Copenhagen Airport (CPH), Dominican Republic: Las Américas International Airport (SDQ), Ecuador: Mariscal Sucre International Airport (UIO), Egypt: Cairo International Airport (CAI), El Salvador: El Salvador International Airport (SAL), Estonia: Tallinn Airport (TLL), Ethiopia: Addis Ababa Bole International Airport (ADD), Finland: Helsinki-Vantaa Airport (HEL), France: Paris Charles de Gaulle Airport (CDG), French Guiana: Cayenne-Félix Eboué Airport (CAY), Gabon: Léon-Mba International Airport (LBV), Gambia: Banjul International Airport (BJL), Germany: Frankfurt Airport (FRA), Ghana: Kotoka International Airport (ACC), Greece: Athens International Airport (ATH), Guatemala: La Aurora International Airport (GUA), Guinea: Conakry International Airport (CKY), Guyana: Cheddi Jagan International Airport (GEO), Haiti: Toussaint Louverture International Airport (PAP), Honduras: Toncontín International Airport (TGU), Hong Kong: Hong Kong International Airport (HKG), Hungary: Budapest Ferenc Liszt International Airport (BUD), Iceland: Keflavík International Airport (KEF), India: Indira Gandhi International Airport (DEL), Indonesia: Soekarno–Hatta International Airport (CGK), Iran: Imam Khomeini International Airport (IKA), Iraq: Baghdad International Airport (BGW), Ireland: Dublin Airport (DUB), Israel: Ben Gurion Airport (TLV), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Ivory Coast: Félix-Houphouët-Boigny International Airport (ABJ), Jamaica: Norman Manley International Airport (KIN), Japan: Tokyo Haneda Airport (HND), Jordan: Queen Alia International Airport (AMM), Kenya: Jomo Kenyatta International Airport (NBO), Kuwait: Kuwait International Airport (KWI), Latvia: Riga International Airport (RIX), Lebanon: Beirut–Rafic Hariri International Airport (BEY), Liberia: Roberts International Airport (ROB), Lithuania: Vilnius International Airport (VNO), Luxembourg: Luxembourg Airport (LUX), Malaysia: Kuala Lumpur International Airport (KUL), Maldives: Velana International Airport (MLE), Malta: Malta International Airport (MLA), Martinique: Martinique Aimé Césaire International Airport (FDF), Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU), Mexico: Mexico City International Airport (MEX), Moldova: Chișinău International Airport (KIV), Mongolia: Chinggis Khaan International Airport (UBN), Montenegro: Podgorica Airport (TGD), Morocco: Mohammed V International Airport (CMN), Mozambique: Maputo International Airport (MPM), Namibia: Hosea Kutako International Airport (WDH), Nepal: Tribhuvan International Airport (KTM), Netherlands: Amsterdam Airport Schiphol (AMS), New Zealand: Auckland Airport (AKL), Nicaragua: Augusto C. Sandino International Airport (MGA), Nigeria: Murtala Muhammed International Airport (LOS), North Macedonia: Skopje International Airport (SKP), Norway: Oslo Airport, Gardermoen (OSL), Oman: Muscat International Airport (MCT), Pakistan: Jinnah International Airport (KHI), Panama: Tocumen International Airport (PTY), Paraguay: Silvio Pettirossi International Airport (ASU), Peru: Jorge Chávez International Airport (LIM), Philippines: Ninoy Aquino International Airport (MNL), Poland: Warsaw Chopin Airport (WAW), Portugal: Lisbon Portela Airport (LIS), Qatar: Hamad International Airport (DOH), Romania: Henri Coandă International Airport (OTP), Russia: Sheremetyevo International Airport (SVO), Rwanda: Kigali International Airport (KGL), Saudi Arabia: King Abdulaziz International Airport (JED), Senegal: Blaise Diagne International Airport (DSS), Serbia: Belgrade Nikola Tesla Airport (BEG), Seychelles: Seychelles International Airport (SEZ), Singapore: Singapore Changi Airport (SIN), Slovakia: Bratislava Airport (BTS), Slovenia: Ljubljana Jože Pučnik Airport (LJU), South Africa: O. R. Tambo International Airport (JNB), South Korea: Incheon International Airport (ICN), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sri Lanka: Bandaranaike International Airport (CMB), Suriname: Johan Pengel International Airport (PBM), Sweden: Stockholm Arlanda Airport (ARN), Switzerland: Zurich Airport (ZRH), Taiwan: Taiwan Taoyuan International Airport (TPE), Tanzania: Julius Nyerere International Airport (DAR), Thailand: Suvarnabhumi Airport (BKK), Trinidad and Tobago: Piarco International Airport (POS), Tunisia: Tunis–Carthage International Airport (TUN), Turkey: Istanbul Airport (IST), Uganda: Entebbe International Airport (EBB), Ukraine: Boryspil International Airport (KBP), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL), Uruguay: Carrasco International Airport (MVD), Uzbekistan: Tashkent International Airport (TAS), Venezuela: Simón Bolívar International Airport (CCS), Vietnam: Noi Bai International Airport (HAN), Zambia: Kenneth Kaunda International Airport (LUN)"
Germany,Eurowings,41,152,"Albania, Austria, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Jamaica, Malta, Morocco, Netherlands, North Macedonia, Norway, Oman, Portugal, Serbia, Spain, Sweden, Switzerland, Tunisia, Turkey, United Arab Emirates, United Kingdom, United States","Albania: Tirana International Airport (TIA), Austria: Vienna International Airport (VIE), Bosnia and Herzegovina: Sarajevo International Airport (SJJ), Bulgaria: Sofia Airport (SOF), Croatia: Zagreb Airport (ZAG), Cyprus: Larnaca International Airport (LCA), Czech Republic: Václav Havel Airport Prague (PRG), Denmark: Copenhagen Airport (CPH), Estonia: Tallinn Airport (TLL), Finland: Helsinki-Vantaa Airport (HEL), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), Greece: Athens International Airport (ATH), Hungary: Budapest Ferenc Liszt International Airport (BUD), Iceland: Keflavík International Airport (KEF), Ireland: Dublin Airport (DUB), Israel: Ben Gurion Airport (TLV), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Jamaica: Norman Manley International Airport (KIN), Malta: Malta International Airport (MLA), Morocco: Mohammed V International Airport (CMN), Netherlands: Amsterdam Airport Schiphol (AMS), North Macedonia: Skopje International Airport (SKP), Norway: Oslo Airport, Gardermoen (OSL), Oman: Muscat International Airport (MCT), Portugal: Lisbon Portela Airport (LIS), Serbia: Belgrade Nikola Tesla Airport (BEG), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sweden: Stockholm Arlanda Airport (ARN), Switzerland: Zurich Airport (ZRH), Tunisia: Tunis–Carthage International Airport (TUN), Turkey: Istanbul Airport (IST), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
Germany,Condor,39,85,"Antigua and Barbuda, Aruba, Barbados, Bolivia, Brazil, Canada, Cape Verde, Costa Rica, Cuba, Curaçao, Dominican Republic, Ecuador, El Salvador, Germany, Greece, Grenada, Guatemala, Jamaica, Mexico, Nicaragua, Panama, Peru, Saint Lucia, Saint Vincent and the Grenadines, Suriname, Thailand, Trinidad and Tobago, Turkey, United States","Antigua and Barbuda: V. C. Bird International Airport (ANU), Aruba: Queen Beatrix International Airport (AUA), Barbados: Grantley Adams International Airport (BGI), Bolivia: El Alto International Airport (LPB), Brazil: São Paulo/Guarulhos International Airport (GRU), Canada: Toronto Pearson International Airport (YYZ), Cape Verde: Nelson Mandela International Airport (RAI), Costa Rica: Juan Santamaría International Airport (SJO), Cuba: José Martí International Airport (HAV), Curaçao: Curaçao International Airport (CUR), Dominican Republic: Las Américas International Airport (SDQ), Ecuador: Mariscal Sucre International Airport (UIO), El Salvador: El Salvador International Airport (SAL), Germany: Frankfurt Airport (FRA), Greece: Athens International Airport (ATH), Grenada: Maurice Bishop International Airport (GND), Guatemala: La Aurora International Airport (GUA), Jamaica: Norman Manley International Airport (KIN), Mexico: Mexico City International Airport (MEX), Nicaragua: Augusto C. Sandino International Airport (MGA), Panama: Tocumen International Airport (PTY), Peru: Jorge Chávez International Airport (LIM), Saint Lucia: Hewanorra International Airport (UVF), Saint Vincent and the Grenadines: Argyle International Airport (SVD), Suriname: Johan Pengel International Airport (PBM), Thailand: Suvarnabhumi Airport (BKK), Trinidad and Tobago: Piarco International Airport (POS), Turkey: Istanbul Airport (IST), United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
Germany,SunExpress,34,107,"Albania, Austria, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Malta, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Turkey, United Kingdom","Albania: Tirana International Airport (TIA), Austria: Vienna International Airport (VIE), Bulgaria: Sofia Airport (SOF), Cyprus: Larnaca International Airport (LCA), Czech Republic: Václav Havel Airport Prague (PRG), Denmark: Copenhagen Airport (CPH), Estonia: Tallinn Airport (TLL), Finland: Helsinki-Vantaa Airport (HEL), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), Greece: Athens International Airport (ATH), Hungary: Budapest Ferenc Liszt International Airport (BUD), Ireland: Dublin Airport (DUB), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Latvia: Riga International Airport (RIX), Lithuania: Vilnius International Airport (VNO), Malta: Malta International Airport (MLA), Netherlands: Amsterdam Airport Schiphol (AMS), North Macedonia: Skopje International Airport (SKP), Norway: Oslo Airport, Gardermoen (OSL), Poland: Warsaw Chopin Airport (WAW), Portugal: Lisbon Portela Airport (LIS), Romania: Henri Coandă International Airport (OTP), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sweden: Stockholm Arlanda Airport (ARN), Switzerland: Zurich Airport (ZRH), Turkey: Istanbul Airport (IST), United Kingdom: London Heathrow Airport (LHR)"
Germany,Discover Airlines,31,63,"Antigua and Barbuda, Aruba, Barbados, Canada, Cayman Islands, Dominican Republic, Germany, Greece, Jamaica, Mexico, Punta Cana (Dominican Republic), United States","Antigua and Barbuda: V. C. Bird International Airport (ANU), Aruba: Queen Beatrix International Airport (AUA), Barbados: Grantley Adams International Airport (BGI), Canada: Toronto Pearson International Airport (YYZ), Cayman Islands: Owen Roberts International Airport (GCM), Dominican Republic: Las Américas International Airport (SDQ), Germany: Frankfurt Airport (FRA), Greece: Athens International Airport (ATH), Jamaica: Norman Manley International Airport (KIN), Mexico: Mexico City International Airport (MEX), Punta Cana (Dominican Republic): Punta Cana International Airport (PUJ), United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
Greece,Aegean Airlines,47,118,"Albania, Armenia, Austria, Bahrain, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Egypt, France, Georgia, Germany, Greece, Hungary, Iraq, Ireland, Israel, Italy, Jordan, Kazakhstan, Lebanon, Luxembourg, Malta, Moldova, Montenegro, Netherlands, North Macedonia, Poland, Portugal, Qatar, Romania, Russia, Saudi Arabia, Serbia, Slovakia, Slovenia, Switzerland, Syria, Turkey, Ukraine, United Arab Emirates, United Kingdom","Albania: Tirana International Airport (TIA), Armenia: Zvartnots International Airport (EVN), Austria: Vienna International Airport (VIE), Bahrain: Bahrain International Airport (BAH), Belgium: Brussels Airport (BRU), Bulgaria: Sofia Airport (SOF), Croatia: Zagreb Airport (ZAG), Cyprus: Larnaca International Airport (LCA), Czech Republic: Václav Havel Airport Prague (PRG), Denmark: Copenhagen Airport (CPH), Egypt: Cairo International Airport (CAI), France: Paris Charles de Gaulle Airport (CDG), Georgia: Tbilisi International Airport (TBS), Germany: Frankfurt Airport (FRA), Greece: Athens International Airport (ATH), Hungary: Budapest Ferenc Liszt International Airport (BUD), Iraq: Baghdad International Airport (BGW), Ireland: Dublin Airport (DUB), Israel: Ben Gurion Airport (TLV), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Jordan: Queen Alia International Airport (AMM), Kazakhstan: Almaty International Airport (ALA), Lebanon: Beirut–Rafic Hariri International Airport (BEY), Luxembourg: Luxembourg Airport (LUX), Malta: Malta International Airport (MLA), Moldova: Chișinău International Airport (KIV), Montenegro: Podgorica Airport (TGD), Netherlands: Amsterdam Airport Schiphol (AMS), North Macedonia: Skopje International Airport (SKP), Poland: Warsaw Chopin Airport (WAW), Portugal: Lisbon Portela Airport (LIS), Qatar: Hamad International Airport (DOH), Romania: Henri Coandă International Airport (OTP), Russia: Sheremetyevo International Airport (SVO), Saudi Arabia: King Abdulaziz International Airport (JED), Serbia: Belgrade Nikola Tesla Airport (BEG), Slovakia: Bratislava Airport (BTS), Slovenia: Ljubljana Jože Pučnik Airport (LJU), Switzerland: Zurich Airport (ZRH), Syria: Damascus International Airport (DAM), Turkey: Istanbul Airport (IST), Ukraine: Boryspil International Airport (KBP), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR)"
Hong Kong,Cathay,32,82,"Australia, Belgium, Canada, China, France, Germany, India, Indonesia, Ireland, Israel, Italy, Japan, Macao, Malaysia, Netherlands, New Zealand, Philippines, Singapore, South Korea, Spain, Sri Lanka, Taiwan, Thailand, United Kingdom, United States, Vietnam","Australia: Sydney Kingsford Smith Airport (SYD), Belgium: Brussels Airport (BRU), Canada: Toronto Pearson International Airport (YYZ), China: Beijing Capital International Airport (PEK), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), India: Indira Gandhi International Airport (DEL), Indonesia: Soekarno–Hatta International Airport (CGK), Ireland: Dublin Airport (DUB), Israel: Ben Gurion Airport (TLV), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Japan: Tokyo Haneda Airport (HND), Macao: Macau International Airport (MFM), Malaysia: Kuala Lumpur International Airport (KUL), Netherlands: Amsterdam Airport Schiphol (AMS), New Zealand: Auckland Airport (AKL), Philippines: Ninoy Aquino International Airport (MNL), Singapore: Singapore Changi Airport (SIN), South Korea: Incheon International Airport (ICN), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sri Lanka: Bandaranaike International Airport (CMB), Taiwan: Taiwan Taoyuan International Airport (TPE), Thailand: Suvarnabhumi Airport (BKK), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL), Vietnam: Noi Bai International Airport (HAN)"
Hungary,Wizz Air,53,200,"Albania, Armenia, Azerbaijan, Bahrain, Bosnia and Herzegovina, Bulgaria, Cyprus, Czech Republic, Denmark, Egypt, Estonia, Finland, Georgia, Greece, Hungary, Iceland, India, Israel, Italy, Jordan, Kazakhstan, Kosovo, Kuwait, Kyrgyzstan, Latvia, Lithuania, Luxembourg, Malta, Moldova, Montenegro, Morocco, North Macedonia, Norway, Oman, Poland, Portugal, Qatar, Romania, Russia, Saudi Arabia, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Tunisia, Turkey, Ukraine, United Arab Emirates, United Kingdom","Albania: Tirana International Airport (TIA), Armenia: Zvartnots International Airport (EVN), Azerbaijan: Heydar Aliyev International Airport (GYD), Bahrain: Bahrain International Airport (BAH), Bosnia and Herzegovina: Sarajevo International Airport (SJJ), Bulgaria: Sofia Airport (SOF), Cyprus: Larnaca International Airport (LCA), Czech Republic: Václav Havel Airport Prague (PRG), Denmark: Copenhagen Airport (CPH), Egypt: Cairo International Airport (CAI), Estonia: Tallinn Airport (TLL), Finland: Helsinki-Vantaa Airport (HEL), Georgia: Tbilisi International Airport (TBS), Greece: Athens International Airport (ATH), Hungary: Budapest Ferenc Liszt International Airport (BUD), Iceland: Keflavík International Airport (KEF), India: Indira Gandhi International Airport (DEL), Israel: Ben Gurion Airport (TLV), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Jordan: Queen Alia International Airport (AMM), Kazakhstan: Almaty International Airport (ALA), Kosovo: Pristina International Airport (PRN), Kuwait: Kuwait International Airport (KWI), Kyrgyzstan: Manas International Airport (FRU), Latvia: Riga International Airport (RIX), Lithuania: Vilnius International Airport (VNO), Luxembourg: Luxembourg Airport (LUX), Malta: Malta International Airport (MLA), Moldova: Chișinău International Airport (KIV), Montenegro: Podgorica Airport (TGD), Morocco: Mohammed V International Airport (CMN), North Macedonia: Skopje International Airport (SKP), Norway: Oslo Airport, Gardermoen (OSL), Oman: Muscat International Airport (MCT), Poland: Warsaw Chopin Airport (WAW), Portugal: Lisbon Portela Airport (LIS), Qatar: Hamad International Airport (DOH), Romania: Henri Coandă International Airport (OTP), Russia: Sheremetyevo International Airport (SVO), Saudi Arabia: King Abdulaziz International Airport (JED), Serbia: Belgrade Nikola Tesla Airport (BEG), Slovakia: Bratislava Airport (BTS), Slovenia: Ljubljana Jože Pučnik Airport (LJU), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sweden: Stockholm Arlanda Airport (ARN), Switzerland: Zurich Airport (ZRH), Tunisia: Tunis–Carthage International Airport (TUN), Turkey: Istanbul Airport (IST), Ukraine: Boryspil International Airport (KBP), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR)"
India,Air India,32,84,"Australia, Bahrain, Canada, China, France, Germany, Hong Kong, Ireland, Italy, Japan, Kuwait, Maldives, Mauritius, Netherlands, Oman, Saudi Arabia, Seychelles, Singapore, South Africa, Sri Lanka, Switzerland, Thailand, United Arab Emirates, United Kingdom, United States","Australia: Sydney Kingsford Smith Airport (SYD), Bahrain: Bahrain International Airport (BAH), Canada: Toronto Pearson International Airport (YYZ), China: Beijing Capital International Airport (PEK), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), Hong Kong: Hong Kong International Airport (HKG), Ireland: Dublin Airport (DUB), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Japan: Tokyo Haneda Airport (HND), Kuwait: Kuwait International Airport (KWI), Maldives: Velana International Airport (MLE), Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU), Netherlands: Amsterdam Airport Schiphol (AMS), Oman: Muscat International Airport (MCT), Saudi Arabia: King Abdulaziz International Airport (JED), Seychelles: Seychelles International Airport (SEZ), Singapore: Singapore Changi Airport (SIN), South Africa: O. R. Tambo International Airport (JNB), Sri Lanka: Bandaranaike International Airport (CMB), Switzerland: Zurich Airport (ZRH), Thailand: Suvarnabhumi Airport (BKK), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
Ireland,Ryanair,37,239,"Albania, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Israel, Italy, Latvia, Lithuania, Luxembourg, Malta, Moldova, Montenegro, Morocco, North Macedonia, Poland, Portugal, Romania, Serbia, Slovakia, Spain, Sweden, Switzerland, Tunisia, Turkey, United Kingdom","Albania: Tirana International Airport (TIA), Belgium: Brussels Airport (BRU), Bulgaria: Sofia Airport (SOF), Croatia: Zagreb Airport (ZAG), Cyprus: Larnaca International Airport (LCA), Czech Republic: Václav Havel Airport Prague (PRG), Denmark: Copenhagen Airport (CPH), Estonia: Tallinn Airport (TLL), Finland: Helsinki-Vantaa Airport (HEL), France: Paris Charles de Gaulle Airport (CDG), Germany: Frankfurt Airport (FRA), Greece: Athens International Airport (ATH), Hungary: Budapest Ferenc Liszt International Airport (BUD), Ireland: Dublin Airport (DUB), Israel: Ben Gurion Airport (TLV), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Latvia: Riga International Airport (RIX), Lithuania: Vilnius International Airport (VNO), Luxembourg: Luxembourg Airport (LUX), Malta: Malta International Airport (MLA), Moldova: Chișinău International Airport (KIV), Montenegro: Podgorica Airport (TGD), Morocco: Mohammed V International Airport (CMN), North Macedonia: Skopje International Airport (SKP), Poland: Warsaw Chopin Airport (WAW), Portugal: Lisbon Portela Airport (LIS), Romania: Henri Coandă International Airport (OTP), Serbia: Belgrade Nikola Tesla Airport (BEG), Slovakia: Bratislava Airport (BTS), Spain: Adolfo Suárez Madrid–Barajas Airport (MAD), Sweden: Stockholm Arlanda Airport (ARN), Switzerland: Zurich Airport (ZRH), Tunisia: Tunis–Carthage International Airport (TUN), Turkey: Istanbul Airport (IST), United Kingdom: London Heathrow Airport (LHR)"
Jordan,Royal Jordanian,32,61,"Albania, Armenia, Austria, Bahrain, Canada, Cyprus, Egypt, France, Georgia, Germany, Greece, India, Iraq, Italy, Jordan, Kuwait, Lebanon, Libya, Malaysia, Maldives, Morocco, Netherlands, Oman, Pakistan, Saudi Arabia, Sudan, Sweden, Syria, Turkey, United Arab Emirates, United Kingdom, United States","Albania: Tirana International Airport (TIA), Armenia: Zvartnots International Airport (EVN), Austria: Vienna International Airport (VIE), Bahrain: Bahrain International Airport (BAH), Canada: Toronto Pearson International Airport (YYZ), Cyprus: Larnaca International Airport (LCA), Egypt: Cairo International Airport (CAI), France: Paris Charles de Gaulle Airport (CDG), Georgia: Tbilisi International Airport (TBS), Germany: Frankfurt Airport (FRA), Greece: Athens International Airport (ATH), India: Indira Gandhi International Airport (DEL), Iraq: Baghdad International Airport (BGW), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Jordan: Queen Alia International Airport (AMM), Kuwait: Kuwait International Airport (KWI), Lebanon: Beirut–Rafic Hariri International Airport (BEY), Libya: Tripoli International Airport (TIP), Malaysia: Kuala Lumpur International Airport (KUL), Maldives: Velana International Airport (MLE), Morocco: Mohammed V International Airport (CMN), Netherlands: Amsterdam Airport Schiphol (AMS), Oman: Muscat International Airport (MCT), Pakistan: Jinnah International Airport (KHI), Saudi Arabia: King Abdulaziz International Airport (JED), Sudan: Khartoum International Airport (KRT), Sweden: Stockholm Arlanda Airport (ARN), Syria: Damascus International Airport (DAM), Turkey: Istanbul Airport (IST), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
Kenya,Kenya Airways,34,44,"Burundi, Comoros, Congo Democratic Republic of, Côte d'Ivoire, Democratic Republic of the Congo, Djibouti, Egypt, Eswatini, Ethiopia, France, Ghana, Guinea, India, Italy, Kenya, Madagascar, Malawi, Mauritius, Mozambique, Namibia, Netherlands, Nigeria, Rwanda, Saudi Arabia, Seychelles, South Africa, South Sudan, Tanzania, Uganda, United Arab Emirates, United Kingdom, United States, Zambia, Zimbabwe","Burundi: Bujumbura International Airport (BJM), Comoros: Prince Said Ibrahim International Airport (HAH), Congo Democratic Republic of: N'djili Airport (FIH), Côte d'Ivoire: Félix-Houphouët-Boigny International Airport (ABJ), Democratic Republic of the Congo: N'djili Airport (FIH), Djibouti: Djibouti–Ambouli International Airport (JIB), Egypt: Cairo International Airport (CAI), Eswatini: King Mswati III International Airport (SHO), Ethiopia: Addis Ababa Bole International Airport (ADD), France: Paris Charles de Gaulle Airport (CDG), Ghana: Kotoka International Airport (ACC), Guinea: Conakry International Airport (CKY), India: Indira Gandhi International Airport (DEL), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Kenya: Jomo Kenyatta International Airport (NBO), Madagascar: Ivato International Airport (TNR), Malawi: Lilongwe International Airport (LLW), Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU), Mozambique: Maputo International Airport (MPM), Namibia: Hosea Kutako International Airport (WDH), Netherlands: Amsterdam Airport Schiphol (AMS), Nigeria: Murtala Muhammed International Airport (LOS), Rwanda: Kigali International Airport (KGL), Saudi Arabia: King Abdulaziz International Airport (JED), Seychelles: Seychelles International Airport (SEZ), South Africa: O. R. Tambo International Airport (JNB), South Sudan: Juba International Airport (JUB), Tanzania: Julius Nyerere International Airport (DAR), Uganda: Entebbe International Airport (EBB), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR), United States: Hartsfield–Jackson Atlanta International Airport (ATL), Zambia: Kenneth Kaunda International Airport (LUN), Zimbabwe: Robert Gabriel Mugabe International Airport (HRE)"
Kuwait,Kuwait Airways,33,48,"Bahrain, Egypt, France, India, Iraq, Italy, Jordan, Kuwait, Lebanon, Maldives, Morocco, Oman, Pakistan, Saudi Arabia, Sri Lanka, Thailand, Tunisia, Turkey, United Arab Emirates, United Kingdom","Bahrain: Bahrain International Airport (BAH), Egypt: Cairo International Airport (CAI), France: Paris Charles de Gaulle Airport (CDG), India: Indira Gandhi International Airport (DEL), Iraq: Baghdad International Airport (BGW), Italy: Leonardo da Vinci–Fiumicino Airport (FCO), Jordan: Queen Alia International Airport (AMM), Kuwait: Kuwait International Airport (KWI), Lebanon: Beirut–Rafic Hariri International Airport (BEY), Maldives: Velana International Airport (MLE), Morocco: Mohammed V International Airport (CMN), Oman: Muscat International Airport (MCT), Pakistan: Jinnah International Airport (KHI), Saudi Arabia: King Abdulaziz International Airport (JED), Sri Lanka: Bandaranaike International Airport (CMB), Thailand: Suvarnabhumi Airport (BKK), Tunisia: Tunis–Carthage International Airport (TUN), Turkey: Istanbul Airport (IST), United Arab Emirates: Dubai International Airport (DXB), United Kingdom: London Heathrow Airport (LHR)"
