"Country","Airline","Country of Origin","Main Airports in country"
"Spain","Austrian Airlines","Austria","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Austrian Airlines","Austria","Sri Lanka: Bandaranaike International Airport (CMB)"
"Sweden","Austrian Airlines","Austria","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Austrian Airlines","Austria","Switzerland: Zurich Airport (ZRH)"
"Tanzania","Austrian Airlines","Austria","Tanzania: Julius Nyerere International Airport (DAR)"
"Thailand","Austrian Airlines","Austria","Thailand: Suvarnabhumi Airport (BKK)"
"Tunisia","Austrian Airlines","Austria","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Austrian Airlines","Austria","Turkey: Istanbul Airport (IST)"
"Uganda","Austrian Airlines","Austria","Uganda: Entebbe International Airport (EBB)"
"Ukraine","Austrian Airlines","Austria","Ukraine: Boryspil International Airport (KBP)"
"United Arab Emirates","Austrian Airlines","Austria","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Austrian Airlines","Austria","United Kingdom: London Heathrow Airport (LHR)"
"United States","Austrian Airlines","Austria","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Uzbekistan","Austrian Airlines","Austria","Uzbekistan: Tashkent International Airport (TAS)"
"Australia","Gulf Air","Bahrain","Australia: Sydney Kingsford Smith Airport (SYD)"
"Bahrain","Gulf Air","Bahrain","Bahrain: Bahrain International Airport (BAH)"
"Bangladesh","Gulf Air","Bahrain","Bangladesh: Shahjalal International Airport (DAC)"
"Egypt","Gulf Air","Bahrain","Egypt: Cairo International Airport (CAI)"
"France","Gulf Air","Bahrain","France: Paris Charles de Gaulle Airport (CDG)"
"India","Gulf Air","Bahrain","India: Indira Gandhi International Airport (DEL)"
"Iraq","Gulf Air","Bahrain","Iraq: Baghdad International Airport (BGW)"
"Jordan","Gulf Air","Bahrain","Jordan: Queen Alia International Airport (AMM)"
"Kuwait","Gulf Air","Bahrain","Kuwait: Kuwait International Airport (KWI)"
"Maldives","Gulf Air","Bahrain","Maldives: Velana International Airport (MLE)"
"Oman","Gulf Air","Bahrain","Oman: Muscat International Airport (MCT)"
"Pakistan","Gulf Air","Bahrain","Pakistan: Jinnah International Airport (KHI)"
"Saudi Arabia","Gulf Air","Bahrain","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Sri Lanka","Gulf Air","Bahrain","Sri Lanka: Bandaranaike International Airport (CMB)"
"Thailand","Gulf Air","Bahrain","Thailand: Suvarnabhumi Airport (BKK)"
"United Kingdom","Gulf Air","Bahrain","United Kingdom: London Heathrow Airport (LHR)"
"Albania","Brussels Airlines","Belgium","Albania: Tirana International Airport (TIA)"
"Armenia","Brussels Airlines","Belgium","Armenia: Zvartnots International Airport (EVN)"
"Benin","Brussels Airlines","Belgium","Benin: Cadjehoun Airport (COO)"
"Bosnia and Herzegovina","Brussels Airlines","Belgium","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Brazil","Brussels Airlines","Belgium","Brazil: São Paulo/Guarulhos International Airport (GRU)"
"Burkina Faso","Brussels Airlines","Belgium","Burkina Faso: Thomas Sankara International Airport Ouagadougou (OUA)"
"Burundi","Brussels Airlines","Belgium","Burundi: Bujumbura International Airport (BJM)"
"Cameroon","Brussels Airlines","Belgium","Cameroon: Douala International Airport (DLA)"
"Canada","Brussels Airlines","Belgium","Canada: Toronto Pearson International Airport (YYZ)"
"Congo Democratic Republic of","Brussels Airlines","Belgium","Congo Democratic Republic of: N'djili Airport (FIH)"
"Congo Republic of","Brussels Airlines","Belgium","Congo Republic of: Maya-Maya Airport (BZV)"
"Côte d'Ivoire","Brussels Airlines","Belgium","Côte d'Ivoire: Félix-Houphouët-Boigny International Airport (ABJ)"
"Croatia","Brussels Airlines","Belgium","Croatia: Zagreb Airport (ZAG)"
"Democratic Republic of the Congo","Brussels Airlines","Belgium","Democratic Republic of the Congo: N'djili Airport (FIH)"
"Equatorial Guinea","Brussels Airlines","Belgium","Equatorial Guinea: Malabo International Airport (SSG)"
"Gambia","Brussels Airlines","Belgium","Gambia: Banjul International Airport (BJL)"
"Ghana","Brussels Airlines","Belgium","Ghana: Kotoka International Airport (ACC)"
"Guinea","Brussels Airlines","Belgium","Guinea: Conakry International Airport (CKY)"
"Kenya","Brussels Airlines","Belgium","Kenya: Jomo Kenyatta International Airport (NBO)"
"Liberia","Brussels Airlines","Belgium","Liberia: Roberts International Airport (ROB)"
"Malawi","Brussels Airlines","Belgium","Malawi: Lilongwe International Airport (LLW)"
"Mali","Brussels Airlines","Belgium","Mali: Modibo Keita International Airport (BKO)"
"Nigeria","Brussels Airlines","Belgium","Nigeria: Murtala Muhammed International Airport (LOS)"
"Republic of the Congo","Brussels Airlines","Belgium","Republic of the Congo: Maya-Maya Airport (BZV)"
"Rwanda","Brussels Airlines","Belgium","Rwanda: Kigali International Airport (KGL)"
"Senegal","Brussels Airlines","Belgium","Senegal: Blaise Diagne International Airport (DSS)"
"Serbia","Brussels Airlines","Belgium","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Sierra Leone","Brussels Airlines","Belgium","Sierra Leone: Lungi International Airport (FNA)"
"South Africa","Brussels Airlines","Belgium","South Africa: O. R. Tambo International Airport (JNB)"
"Tanzania","Brussels Airlines","Belgium","Tanzania: Julius Nyerere International Airport (DAR)"
"Togo","Brussels Airlines","Belgium","Togo: Lomé–Tokoin International Airport (LFW)"
"Uganda","Brussels Airlines","Belgium","Uganda: Entebbe International Airport (EBB)"
"United Kingdom","Brussels Airlines","Belgium","United Kingdom: London Heathrow Airport (LHR)"
"United States","Brussels Airlines","Belgium","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Zambia","Brussels Airlines","Belgium","Zambia: Kenneth Kaunda International Airport (LUN)"
"Albania","Air Canada","Canada","Albania: Tirana International Airport (TIA)"
"Algeria","Air Canada","Canada","Algeria: Houari Boumediene Airport (ALG)"
"Argentina","Air Canada","Canada","Argentina: Ministro Pistarini International Airport (EZE)"
"Armenia","Air Canada","Canada","Armenia: Zvartnots International Airport (EVN)"
"Aruba","Air Canada","Canada","Aruba: Queen Beatrix International Airport (AUA)"
"Australia","Air Canada","Canada","Australia: Sydney Kingsford Smith Airport (SYD)"
"Austria","Air Canada","Canada","Austria: Vienna International Airport (VIE)"
"Azerbaijan","Air Canada","Canada","Azerbaijan: Heydar Aliyev International Airport (GYD)"
"Bahamas","Air Canada","Canada","Bahamas: Lynden Pindling International Airport (NAS)"
"Bangladesh","Air Canada","Canada","Bangladesh: Shahjalal International Airport (DAC)"
"Barbados","Air Canada","Canada","Barbados: Grantley Adams International Airport (BGI)"
"Belgium","Air Canada","Canada","Belgium: Brussels Airport (BRU)"
"Bermuda","Air Canada","Canada","Bermuda: L.F. Wade International Airport (BDA)"
"Bolivia","Air Canada","Canada","Bolivia: El Alto International Airport (LPB)"
"Bosnia and Herzegovina","Air Canada","Canada","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Brazil","Air Canada","Canada","Brazil: São Paulo/Guarulhos International Airport (GRU)"
"British Virgin Islands","Air Canada","Canada","British Virgin Islands: Terrance B. Lettsome International Airport (EIS)"
"Bulgaria","Air Canada","Canada","Bulgaria: Sofia Airport (SOF)"
"Cambodia","Air Canada","Canada","Cambodia: Phnom Penh International Airport (PNH)"
"Canada","Air Canada","Canada","Canada: Toronto Pearson International Airport (YYZ)"
"Cayman Islands","Air Canada","Canada","Cayman Islands: Owen Roberts International Airport (GCM)"
"Chile","Air Canada","Canada","Chile: Arturo Merino Benítez International Airport (SCL)"
"China","Air Canada","Canada","China: Beijing Capital International Airport (PEK)"
"Colombia","Air Canada","Canada","Colombia: El Dorado International Airport (BOG)"
"Costa Rica","Air Canada","Canada","Costa Rica: Juan Santamaría International Airport (SJO)"
"Croatia","Air Canada","Canada","Croatia: Zagreb Airport (ZAG)"
"Cuba","Air Canada","Canada","Cuba: José Martí International Airport (HAV)"
"Curaçao","Air Canada","Canada","Curaçao: Curaçao International Airport (CUR)"
"Cyprus","Air Canada","Canada","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Air Canada","Canada","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Air Canada","Canada","Denmark: Copenhagen Airport (CPH)"
"Dominican Republic","Air Canada","Canada","Dominican Republic: Las Américas International Airport (SDQ)"
"Ecuador","Air Canada","Canada","Ecuador: Mariscal Sucre International Airport (UIO)"
"Egypt","Air Canada","Canada","Egypt: Cairo International Airport (CAI)"
"El Salvador","Air Canada","Canada","El Salvador: El Salvador International Airport (SAL)"
"Estonia","Air Canada","Canada","Estonia: Tallinn Airport (TLL)"
"Finland","Air Canada","Canada","Finland: Helsinki-Vantaa Airport (HEL)"
"France","Air Canada","Canada","France: Paris Charles de Gaulle Airport (CDG)"
"French Guiana","Air Canada","Canada","French Guiana: Cayenne-Félix Eboué Airport (CAY)"
"French Polynesia","Air Canada","Canada","French Polynesia: Faa'a International Airport (PPT)"
"Germany","Air Canada","Canada","Germany: Frankfurt Airport (FRA)"
"Greece","Air Canada","Canada","Greece: Athens International Airport (ATH)"
"Guatemala","Air Canada","Canada","Guatemala: La Aurora International Airport (GUA)"
"Guyana","Air Canada","Canada","Guyana: Cheddi Jagan International Airport (GEO)"
"Haiti","Air Canada","Canada","Haiti: Toussaint Louverture International Airport (PAP)"
"Honduras","Air Canada","Canada","Honduras: Toncontín International Airport (TGU)"
"Hong Kong","Air Canada","Canada","Hong Kong: Hong Kong International Airport (HKG)"
"Hungary","Air Canada","Canada","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iceland","Air Canada","Canada","Iceland: Keflavík International Airport (KEF)"
"India","Air Canada","Canada","India: Indira Gandhi International Airport (DEL)"
"Indonesia","Air Canada","Canada","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Ireland","Air Canada","Canada","Ireland: Dublin Airport (DUB)"
"Israel","Air Canada","Canada","Israel: Ben Gurion Airport (TLV)"
"Italy","Air Canada","Canada","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Jamaica","Air Canada","Canada","Jamaica: Norman Manley International Airport (KIN)"
"Japan","Air Canada","Canada","Japan: Tokyo Haneda Airport (HND)"
"Jordan","Air Canada","Canada","Jordan: Queen Alia International Airport (AMM)"
"Kazakhstan","Air Canada","Canada","Kazakhstan: Almaty International Airport (ALA)"
"Kenya","Air Canada","Canada","Kenya: Jomo Kenyatta International Airport (NBO)"
"Kuwait","Air Canada","Canada","Kuwait: Kuwait International Airport (KWI)"
"Latvia","Air Canada","Canada","Latvia: Riga International Airport (RIX)"
"Lebanon","Air Canada","Canada","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Liberia","Air Canada","Canada","Liberia: Roberts International Airport (ROB)"
"Lithuania","Air Canada","Canada","Lithuania: Vilnius International Airport (VNO)"
"Luxembourg","Air Canada","Canada","Luxembourg: Luxembourg Airport (LUX)"
"Madagascar","Air Canada","Canada","Madagascar: Ivato International Airport (TNR)"
"Malaysia","Air Canada","Canada","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","Air Canada","Canada","Maldives: Velana International Airport (MLE)"
"Malta","Air Canada","Canada","Malta: Malta International Airport (MLA)"
"Martinique","Air Canada","Canada","Martinique: Martinique Aimé Césaire International Airport (FDF)"
"Mauritius","Air Canada","Canada","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Mexico","Air Canada","Canada","Mexico: Mexico City International Airport (MEX)"
"Moldova","Air Canada","Canada","Moldova: Chișinău International Airport (KIV)"
"Monaco","Air Canada","Canada","Monaco: Nice Côte d'Azur Airport (NCE)"
"Mongolia","Air Canada","Canada","Mongolia: Chinggis Khaan International Airport (UBN)"
"Montenegro","Air Canada","Canada","Montenegro: Podgorica Airport (TGD)"
"Morocco","Air Canada","Canada","Morocco: Mohammed V International Airport (CMN)"
"Myanmar","Air Canada","Canada","Myanmar: Yangon International Airport (RGN)"
"Nepal","Air Canada","Canada","Nepal: Tribhuvan International Airport (KTM)"
"Netherlands","Air Canada","Canada","Netherlands: Amsterdam Airport Schiphol (AMS)"
"New Caledonia","Air Canada","Canada","New Caledonia: La Tontouta International Airport (NOU)"
"New Zealand","Air Canada","Canada","New Zealand: Auckland Airport (AKL)"
"Nicaragua","Air Canada","Canada","Nicaragua: Augusto C. Sandino International Airport (MGA)"
"Nigeria","Air Canada","Canada","Nigeria: Murtala Muhammed International Airport (LOS)"
"North Macedonia","Air Canada","Canada","North Macedonia: Skopje International Airport (SKP)"
"Norway","Air Canada","Canada","Norway: Oslo Airport"
"Oman","Air Canada","Canada","Oman: Muscat International Airport (MCT)"
"Pakistan","Air Canada","Canada","Pakistan: Jinnah International Airport (KHI)"
"Panama","Air Canada","Canada","Panama: Tocumen International Airport (PTY)"
"Peru","Air Canada","Canada","Peru: Jorge Chávez International Airport (LIM)"
"Philippines","Air Canada","Canada","Philippines: Ninoy Aquino International Airport (MNL)"
"Poland","Air Canada","Canada","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Air Canada","Canada","Portugal: Lisbon Portela Airport (LIS)"
"Qatar","Air Canada","Canada","Qatar: Hamad International Airport (DOH)"
"Romania","Air Canada","Canada","Romania: Henri Coandă International Airport (OTP)"
"Russia","Air Canada","Canada","Russia: Sheremetyevo International Airport (SVO)"
"Saint Kitts and Nevis","Air Canada","Canada","Saint Kitts and Nevis: Robert L. Bradshaw International Airport (SKB)"
"Saint Lucia","Air Canada","Canada","Saint Lucia: Hewanorra International Airport (UVF)"
"Saint Martin","Air Canada","Canada","Saint Martin: Princess Juliana International Airport (SXM)"
"Saint Vincent and the Grenadines","Air Canada","Canada","Saint Vincent and the Grenadines: Argyle International Airport (SVD)"
"Saudi Arabia","Air Canada","Canada","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Senegal","Air Canada","Canada","Senegal: Blaise Diagne International Airport (DSS)"
"Serbia","Air Canada","Canada","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Seychelles","Air Canada","Canada","Seychelles: Seychelles International Airport (SEZ)"
"Singapore","Air Canada","Canada","Singapore: Singapore Changi Airport (SIN)"
"Slovakia","Air Canada","Canada","Slovakia: Bratislava Airport (BTS)"
"Slovenia","Air Canada","Canada","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"South Africa","Air Canada","Canada","South Africa: O. R. Tambo International Airport (JNB)"
"South Korea","Air Canada","Canada","South Korea: Incheon International Airport (ICN)"
"Spain","Air Canada","Canada","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Air Canada","Canada","Sri Lanka: Bandaranaike International Airport (CMB)"
"Suriname","Air Canada","Canada","Suriname: Johan Pengel International Airport (PBM)"
"Sweden","Air Canada","Canada","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Air Canada","Canada","Switzerland: Zurich Airport (ZRH)"
"Taiwan","Air Canada","Canada","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Tanzania","Air Canada","Canada","Tanzania: Julius Nyerere International Airport (DAR)"
"Thailand","Air Canada","Canada","Thailand: Suvarnabhumi Airport (BKK)"
"Trinidad and Tobago","Air Canada","Canada","Trinidad and Tobago: Piarco International Airport (POS)"
"Tunisia","Air Canada","Canada","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Air Canada","Canada","Turkey: Istanbul Airport (IST)"
"Turks and Caicos Islands","Air Canada","Canada","Turks and Caicos Islands: Providenciales Airport (PLS)"
"Ukraine","Air Canada","Canada","Ukraine: Boryspil International Airport (KBP)"
"United Arab Emirates","Air Canada","Canada","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Air Canada","Canada","United Kingdom: London Heathrow Airport (LHR)"
"United States","Air Canada","Canada","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Uruguay","Air Canada","Canada","Uruguay: Carrasco International Airport (MVD)"
"Uzbekistan","Air Canada","Canada","Uzbekistan: Tashkent International Airport (TAS)"
"Venezuela","Air Canada","Canada","Venezuela: Simón Bolívar International Airport (CCS)"
"Vietnam","Air Canada","Canada","Vietnam: Noi Bai International Airport (HAN)"
"Zambia","Air Canada","Canada","Zambia: Kenneth Kaunda International Airport (LUN)"
"Aruba","WestJet","Canada","Aruba: Queen Beatrix International Airport (AUA)"
"Bahamas","WestJet","Canada","Bahamas: Lynden Pindling International Airport (NAS)"
"Belize","WestJet","Canada","Belize: Philip S. W. Goldson International Airport (BZE)"
"Canada","WestJet","Canada","Canada: Toronto Pearson International Airport (YYZ)"
"Cayman Islands","WestJet","Canada","Cayman Islands: Owen Roberts International Airport (GCM)"
"Costa Rica","WestJet","Canada","Costa Rica: Juan Santamaría International Airport (SJO)"
"Dominican Republic","WestJet","Canada","Dominican Republic: Las Américas International Airport (SDQ)"
"El Salvador","WestJet","Canada","El Salvador: El Salvador International Airport (SAL)"
"Jamaica","WestJet","Canada","Jamaica: Norman Manley International Airport (KIN)"
"Mexico","WestJet","Canada","Mexico: Mexico City International Airport (MEX)"
"Saint Lucia","WestJet","Canada","Saint Lucia: Hewanorra International Airport (UVF)"
"United States","WestJet","Canada","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Australia","China Southern Airlines","China","Australia: Sydney Kingsford Smith Airport (SYD)"
"Cambodia","China Southern Airlines","China","Cambodia: Phnom Penh International Airport (PNH)"
"Canada","China Southern Airlines","China","Canada: Toronto Pearson International Airport (YYZ)"
"China","China Southern Airlines","China","China: Beijing Capital International Airport (PEK)"
"France","China Southern Airlines","China","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","China Southern Airlines","China","Germany: Frankfurt Airport (FRA)"
"Hong Kong","China Southern Airlines","China","Hong Kong: Hong Kong International Airport (HKG)"
"Indonesia","China Southern Airlines","China","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Japan","China Southern Airlines","China","Japan: Tokyo Haneda Airport (HND)"
"Laos","China Southern Airlines","China","Laos: Wattay International Airport (VTE)"
"Macao","China Southern Airlines","China","Macao: Macau International Airport (MFM)"
"Malaysia","China Southern Airlines","China","Malaysia: Kuala Lumpur International Airport (KUL)"
"Myanmar","China Southern Airlines","China","Myanmar: Yangon International Airport (RGN)"
"Nepal","China Southern Airlines","China","Nepal: Tribhuvan International Airport (KTM)"
"New Zealand","China Southern Airlines","China","New Zealand: Auckland Airport (AKL)"
"Oman","China Southern Airlines","China","Oman: Muscat International Airport (MCT)"
"Philippines","China Southern Airlines","China","Philippines: Ninoy Aquino International Airport (MNL)"
"Saudi Arabia","China Southern Airlines","China","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Seychelles","China Southern Airlines","China","Seychelles: Seychelles International Airport (SEZ)"
"Singapore","China Southern Airlines","China","Singapore: Singapore Changi Airport (SIN)"
"South Korea","China Southern Airlines","China","South Korea: Incheon International Airport (ICN)"
"Sri Lanka","China Southern Airlines","China","Sri Lanka: Bandaranaike International Airport (CMB)"
"Taiwan","China Southern Airlines","China","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Thailand","China Southern Airlines","China","Thailand: Suvarnabhumi Airport (BKK)"
"United Arab Emirates","China Southern Airlines","China","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","China Southern Airlines","China","United Kingdom: London Heathrow Airport (LHR)"
"United States","China Southern Airlines","China","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Vietnam","China Southern Airlines","China","Vietnam: Noi Bai International Airport (HAN)"
"Australia","Air China","China","Australia: Sydney Kingsford Smith Airport (SYD)"
"Austria","Air China","China","Austria: Vienna International Airport (VIE)"
"Belgium","Air China","China","Belgium: Brussels Airport (BRU)"
"Canada","Air China","China","Canada: Toronto Pearson International Airport (YYZ)"
"China","Air China","China","China: Beijing Capital International Airport (PEK)"
"Denmark","Air China","China","Denmark: Copenhagen Airport (CPH)"
"France","Air China","China","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Air China","China","Germany: Frankfurt Airport (FRA)"
"Hong Kong","Air China","China","Hong Kong: Hong Kong International Airport (HKG)"
"Hungary","Air China","China","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"India","Air China","China","India: Indira Gandhi International Airport (DEL)"
"Indonesia","Air China","China","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Ireland","Air China","China","Ireland: Dublin Airport (DUB)"
"Italy","Air China","China","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Japan","Air China","China","Japan: Tokyo Haneda Airport (HND)"
"Luxembourg","Air China","China","Luxembourg: Luxembourg Airport (LUX)"
"Macao","Air China","China","Macao: Macau International Airport (MFM)"
"Malaysia","Air China","China","Malaysia: Kuala Lumpur International Airport (KUL)"
"Mauritius","Air China","China","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Nepal","Air China","China","Nepal: Tribhuvan International Airport (KTM)"
"Netherlands","Air China","China","Netherlands: Amsterdam Airport Schiphol (AMS)"
"New Zealand","Air China","China","New Zealand: Auckland Airport (AKL)"
"Pakistan","Air China","China","Pakistan: Jinnah International Airport (KHI)"
"Philippines","Air China","China","Philippines: Ninoy Aquino International Airport (MNL)"
"Qatar","Air China","China","Qatar: Hamad International Airport (DOH)"
"Singapore","Air China","China","Singapore: Singapore Changi Airport (SIN)"
"South Korea","Air China","China","South Korea: Incheon International Airport (ICN)"
"Spain","Air China","China","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Air China","China","Sri Lanka: Bandaranaike International Airport (CMB)"
"Sweden","Air China","China","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Air China","China","Switzerland: Zurich Airport (ZRH)"
"Taiwan","Air China","China","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Thailand","Air China","China","Thailand: Suvarnabhumi Airport (BKK)"
"United Arab Emirates","Air China","China","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Air China","China","United Kingdom: London Heathrow Airport (LHR)"
"United States","Air China","China","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Australia","China Eastern Airlines","China","Australia: Sydney Kingsford Smith Airport (SYD)"
"Cambodia","China Eastern Airlines","China","Cambodia: Phnom Penh International Airport (PNH)"
"Canada","China Eastern Airlines","China","Canada: Toronto Pearson International Airport (YYZ)"
"China","China Eastern Airlines","China","China: Beijing Capital International Airport (PEK)"
"France","China Eastern Airlines","China","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","China Eastern Airlines","China","Germany: Frankfurt Airport (FRA)"
