topic,url,title,notes
AU-Politics,https://www.foodstar.com.au/women-are-more-adaptive-during-past-downturns-they-upped-their-appeal-with-lipstick-see-lipstick-index-today-they-shape-the-narrative-via-liberal-mainstream-media-shielding-themselves-as-society/,Women are more adaptive – during past downturns they upped their appeal with lipstick (see lipstick-index); today they shape the narrative via liberal-mainstream-media – shielding themselves as society,
AU-Politics,https://www.foodstar.com.au/choking-on-my-banh-mi-watchin-the-liberal-mainstream-medias-convulsion-that-she-isnt-just-going-2-be-a-green-penny-wong/,Choking on my banh-mi watchin’ the liberal-mainstream-media’s convulsion that she isn’t just going 2 be a green Penny Wong,
Thoughts,https://www.foodstar.com.au/if-we-possess-the-capability-to-resurrect-a-species-as-ancient-extinct-as-the-dire-wolf-buried-for-over-10000-years-through-the-cloning-of-preserved-dna-then-we-know-for-sure-they-can-clone-huma/,If we possess the capability to resurrect a species as ancient / extinct as the dire-wolf (buried for over 10 000 years) through the cloning of preserved DNA – then we know for sure they can clone huma,
China,https://www.foodstar.com.au/sam-pang-on-steroids-these-are-the-best-trump-impersonations-coming-out-of-china/,Sam-Pang-on-steroids – these are the best Trump impersonations coming out of China,
AsiaPacific,https://www.foodstar.com.au/this-is-why-they-want-to-destroy-north-korea/,This is why they want to destroy North-Korea,
AU-Politics,https://www.foodstar.com.au/the-liberal-mainstream-media-should-never-have-legitimized-this-kind-of-anti-social-behavior/,The liberal-mainstream-media should never have legitimized this kind of anti-social behavior,
Thoughts,https://www.foodstar.com.au/they-always-send-a-low-testosterone-activist-masquerading-as-a-journalist-w-a-press-pass-to-make-sure-the-message-is-delivered-respectfully/,They always send a low-testosterone activist masquerading as a journalist w/ a press-pass to make sure the message is delivered respectfully,
AU-Life,https://www.foodstar.com.au/angry-white-men-are-the-only-group-that-can-upend-the-liberal-establishment-in-australia-for-this-they-are-branded-locked-in-solitary-confinement-not-allowed-to-congregate-every1-else-is-allowe/,Angry white men are the only group that can upend the liberal-establishment in Australia – for this they are branded / locked in solitary-confinement / not allowed to congregate – every1 else is allowe,
Americas,https://www.foodstar.com.au/future-cars-will-just-be-a-bev-chassis-fr-china-final-assembly-w-body-kit-ai-software-stack-in-the-local-country-made-by-their-own-techies-like-a-custom-computer-w-added-bonus-of-ending-sensel/,Future cars will just be a BEV chassis fr/ China – final-assembly w/ body-kit & AI software-stack in the local country (made by their own techies) like a custom-computer w/ added bonus of ending sensel,
Americas,https://www.foodstar.com.au/its-cheaper-to-buy-a-woman-with-a-man-you-need-to-fund-both-him-and-his-missus-lifestyle-with-a-woman-you-just-cut-out-the-middleman/,It’s cheaper to buy a woman – with a man you need to fund both him and his missus’ lifestyle; with a woman you just cut out the middleman,
AU-Politics,https://www.foodstar.com.au/liberal-mainstream-media-but-we-have-democracy-human-rights/,Liberal-mainstream-media – “but we have democracy / human-rights”,
AU-Life,https://www.foodstar.com.au/if-these-leaders-are-in-charge-of-australia-expect-melbourne-and-sydney-to-become-more-like-canberra-rather-than-the-other-way-around/,If these leaders are in charge of Australia – expect Melbourne and Sydney to become more like Canberra rather than the other way around,
AU-Politics,https://www.foodstar.com.au/does-the-ability-of-openly-racist-individuals-to-hold-high-office-reflect-a-fundamental-flaw-in-liberal-democracies-or-is-it-an-inevitable-consequence-of-a-commitment-to-free-expression-political-p/,Does the ability of openly-racist individuals to hold high office reflect a fundamental flaw in liberal-democracies – or is it an inevitable consequence of a commitment to free-expression / political-p,
India,https://www.foodstar.com.au/lucky-modi-initiated-this-conflict-after-the-melb-comedy-festival-has-concluded-the-memes-wouldve-have-tanked-their-ticket-sales/,Lucky Modi initiated this conflict after the Melb Comedy-Festival has concluded – the memes would’ve have tanked their ticket-sales,
AU-Life,https://www.foodstar.com.au/australian-woman-sets-lifelong-friend-on-fire-after-go-back-to-the-kitchen-remark-causing-permanent-organ-damage/,Australian woman sets lifelong friend on fire after ‘go back to the kitchen’ remark – causing permanent-organ-damage,
AU-Life,https://www.foodstar.com.au/due-diligence-is-not-a-thing-in-australia-sydney-vc-firm-evp-plunks-10-4-million-for-ai-startup-weeks-before-it-enters-administration/,Due-diligence is not a thing in Australia – Sydney VC firm EVP plunks $10.4 million for AI-startup weeks before it enters administration,
AU-Life,https://www.foodstar.com.au/ndis-60-billion-yr-of-compassion-turned-australian-taxpayer-funded-bureaucratic-waste/,NDIS – $60 billion/yr of compassion turned Australian-taxpayer-funded bureaucratic-waste,
AU-Politics,https://www.foodstar.com.au/a-mass-extinction-event-is-happening-the-liberal-mainstream-media-ads-alliance-once-a-500b-behemoth-is-collapsing-latest-wpp-forecast-shows-entire-media-industry-is-dying/,A mass-extinction event is happening – the liberal-mainstream-media-ads alliance (once a $500 b behemoth) is collapsing – latest WPP forecast shows entire-media-industry-is-dying,
AU-Politics,https://www.foodstar.com.au/the-metro-tunnel-delay-or-the-male-childcare-crisis-which-one-is-more-important-to-the-liberal-mainstream-media/,The Metro-Tunnel-delay or the male-childcare-crisis – which one is more important to the liberal-mainstream-media?,
Thoughts,https://www.foodstar.com.au/ex-vic-treasurer-alan-stockdale-gets-cancelled-for-saying-the-quiet-part-out-loud-i-think-women-are-sufficiently-assertive-now-that-we-should-be-giving-some-thought-to-whether-we-need-to-protect-me/,Ex-Vic-Treasurer Alan Stockdale gets cancelled for saying the quiet-part-out-loud – “I think women are sufficiently assertive now that we should be giving some thought to whether we need to protect me,
AU-Life,https://www.foodstar.com.au/they-took-out-these-two-naive-white-boys-cause-they-let-the-asian-lady-speak-australiandemocracy/,They took out these two naive white-boys cause they let the Asian-lady-speak – #AustraliaDemocracy,
Americas,https://www.foodstar.com.au/the-thesis-that-immigration-growth-is-critical-to-economic-growth-is-collapsing-demographic-growth-at-the-expense-of-falling-per-capita-income-housing-availability-is-simply-a-recipe-for-economic-d/,The thesis that immigration-growth is critical to economic-growth is collapsing – demographic-growth at the expense of falling per-capita-income / housing-availability is simply a recipe for economic-d,
Americas,https://www.foodstar.com.au/macrons-slap-broke-taboo-because-it-confirmed-what-we-already-knew-our-political-leaders-arent-really-the-ones-in-charge/,Macron’s slap broke taboo because it confirmed what we already knew – our political-leaders aren’t really the ones-in-charge,
AU-Life,https://www.foodstar.com.au/australias-food-crisis-is-a-national-tragedy-we-need-to-transition-to-a-rice-based-diet-to-address-our-agricultural-challenges-including-flooding-droughts-and-declining-farm-productivity/,Australia’s food-crisis is a national-tragedy – we need to transition to a rice-based-diet to address our agricultural-challenges (including flooding / droughts / declining-farm-productivity),
Americas,https://www.foodstar.com.au/globalists-believed-software-would-eat-the-world-but-history-has-always-proved-that-military-political-power-ultimately-stem-from-industrial-strength/,Globalists believed software would eat the world – but history has always proved that military / political-power ultimately stem from industrial-strength,
AU-Life,https://www.foodstar.com.au/australia-beware-indonesia-is-revisiting-its-dark-colonial-past-dutch-pm-we-have-to-accept-the-shameful-facts-the-prevailing-culture-was-one-of-looking-away-shirking-and-a-misplaced-colonial/,Australia beware – Indonesia is revisiting its dark-colonial-past – Dutch-PM: “We have to accept the shameful-facts … the prevailing-culture was one of looking-away / shirking / misplaced-colonial,
Thoughts,https://www.foodstar.com.au/google-deepmind-ceo-demis-hassabis-canva-cpo-cameron-adams-both-have-chinese-mothers-half-chinese-tech-bros-all-look-alike-maybe-dna-combinations-arent-infinite-for-a-certain-tech-affinity-i/,Google-DeepMind-CEO Demis Hassabis / Canva-CPO Cameron-Adams – both have Chinese-mothers – half-Chinese-tech-bros all look-alike – maybe DNA-combinations aren’t infinite for a certain-tech-affinity i,
AU-Life,https://www.foodstar.com.au/richest-chinese-australian-decides-to-pledge-half-his-wealth-to-charity-today-well-done-cameron/,Richest-Chinese-Australian decides to pledge half-his-wealth to charity today – well-done Cameron,
Thoughts,https://www.foodstar.com.au/sorry-intrepid-but-trump-is-right-the-fight-to-save-national-parks-isnt-about-spending-more-money-its-actually-about-having-less-people/,Sorry Intrepid – but Trump is right – the fight to save national-parks isn’t about spending more-money – it’s actually about having less-people,
AU-Life,https://www.foodstar.com.au/why-express-gratitude-for-end-of-the-white-australia-policy-its-a-disgrace-that-it-was-ever-put-in-place-the-colonial-structures-that-exist-back-then-are-still-in-place-today-we-need-to-chan/,Why express gratitude for end of the White-Australia-Policy? – it’s a disgrace that it was ever put-in-place – the colonial-structures that exist back-then are still-in-place-today – we-need-to-chan,
AU-Life,https://www.foodstar.com.au/hey-bang-xiao-abc-employee-the-idea-that-one-stroll-along-the-great-wall-is-going-to-brainwash-aussie-kids-is-pure-fantasy-wake-up-to-reality-before-you-go-back-to-your-masters/,Hey Bang-Xiao (ABC-employee) – the idea that one-stroll-along-the-Great-Wall is going to “brainwash” Aussie-kids is pure-fantasy – wake-up-to-reality before you go-back-to-your-masters,
AU-Life,https://www.foodstar.com.au/angry-white-men-are-the-only-group-that-can-upend-the-liberal-establishment-in-australia-for-this-they-are-branded-locked-in-solitary-confinement-not-allowed-to-congregate-every1-else-is-allowe/,Angry-white-men are the only group that can upend the liberal-establishment in Australia – for this they are branded / locked-in-solitary-confinement / not-allowed-to-congregate – every1-else-is-allowe,
AU-Life,https://www.foodstar.com.au/why-express-gratitude-for-end-of-the-white-australia-policy-its-a-disgrace-that-it-was-ever-put-in-place-the-colonial-structures-that-exist-back-then-are-still-in-place-today-we-need-to-chan/,Why express gratitude for end of the White-Australia-Policy? – it’s a disgrace that it was ever put-in-place – the colonial-structures that exist back-then are still-in-place-today – we-need-to-chan,
Thoughts,https://www.foodstar.com.au/news-com-au-political-editor-samantha-maiden-gaffe-about-not-writing-anything-about-palestine-recently-at-all-as-bad-as-scott-morrisons-i-dont-hold-a-hose-mate/,News-com-au Political-Editor Samantha-Maiden gaffe about “not writing anything about Palestine recently at all” – as bad as Scott-Morrison’s “I don’t hold a hose mate”,
AU-Life,https://www.foodstar.com.au/they-took-out-these-two-naive-white-boys-cause-they-let-the-asian-lady-speak-australiandemocracy/,They took-out these two naive white-boys cause they let the Asian-lady-speak – #AustraliaDemocracy,
Americas,https://www.foodstar.com.au/after-the-easy-wins-americas-shrinking-playbook-in-the-china-trade-war/,After the easy-wins – America’s shrinking-playbook in the China-trade-war,
China,https://www.foodstar.com.au/valves-hardware-supply-chain-in-china-for-steam-deck-steam-frame-steamos-machine/,Valve’s-hardware-supply-chain in China for Steam-Deck / Steam-Frame / SteamOS-machine,
China,https://www.foodstar.com.au/⚡-tesla-china-supply-chain-manufacturing-battery-production-network/,⚡ Tesla-China-supply-chain – manufacturing / battery-production-network,
AU-Life,https://www.foodstar.com.au/australia-should-transition-to-a-rice-based-diet-to-address-australias-agricultural-challenges-including-flooding-droughts-and-declining-productivity/,Australia should transition to a rice-based-diet to address Australia’s agricultural-challenges (including flooding / droughts / declining-productivity),
AU-Politics,https://www.foodstar.com.au/liberals-in-uk-are-thinking-about-reversing-brexit/,Liberals in UK are thinking about reversing Brexit,
EU,https://www.foodstar.com.au/trumps-tariffs-on-heard-island-mcdonald-islands-may-be-funny-but-france-once-tried-to-sell-china-the-kerguelen-islands-which-are-next-door/,Trump’s tariffs on Heard-Island / McDonald-Islands may be funny – but France once tried to sell China the Kerguelen-Islands which are next-door,
Americas,https://www.foodstar.com.au/cost-of-each-new-aukus-virginiava-class-submarine-has-risen-to-9b-fr-2b-implication-is-clear-us-is-going-all-in-on-va-class-usn-does-not-have-a-formal-successor-to-va-if-plan-can-negate-thr/,Cost of each new AUKUS Virginia-class submarine has risen to $9 b (fr/ $2 b) – implication is clear – US is going all-in on VA-class – USN does-not-have-a-formal-successor-to-VA – if-plan-can-negate-thr,
Americas,https://www.foodstar.com.au/a-real-quad-that-is-not-aimed-at-any-one-country-but-is-intended-to-support-a-free-open-inclusive-fair-system-that-deters-the-assertive-behavior-of-irrational-actors/,A real QUAD that is NOT aimed at any-one-country but is intended to support a free / open / inclusive / fair-system that deters the assertive-behavior of irrational-actors,
UK,https://www.foodstar.com.au/yesterday-a-5m-ukrainian-himars-rocket-system-was-destroyed-by-a-1000-drone-fiber-optic-drone-30km-behind-the-line-of-contact-this-might-be-one-the-single-best-exchange-ratio-in-war-history/,Yesterday a $5 M Ukrainian HIMARS rocket-system was destroyed by a $1000 drone (fiber-optic-drone) 30 km behind the line-of-contact – this might-be one-the-single-best exchange-ratio in war-history,
India,https://www.foodstar.com.au/indian-flyboys-got-pwned-yesterday-by-the-paf/,Indian flyboys got pwned yesterday by the PAF,
AU-Life,https://www.foodstar.com.au/iran-wants-the-bomb-why-doesnt-australia-get-one-as-well-strategic-reality-of-australias-security/,Iran wants the bomb – why doesn’t Australia get one as well? – strategic-reality of Australia’s-security,
Americas,https://www.foodstar.com.au/2025-au-defence-strategic-update-aukus-is-dead-chinese-saying-旧的不去新的不来-the-old-must-go-before-the-new-can/,2025 AU Defence-Strategic-Update – AUKUS is dead – Chinese-saying “旧的不去，新的不来” (the-old-must-go-before-the-new-can),
Americas,https://www.foodstar.com.au/quantum-shadows-cnc-ghosts-why-the-us-may-be-forced-to-abandon-aukus/,Quantum-Shadows & CNC-Ghosts – why the US may be forced to abandon AUKUS,
AU-Life,https://www.foodstar.com.au/how-canberras-foreign-policy-boffins-engineered-an-extinction-level-defeat-how-aukus-may-be-the-final-chapter-in-the-rise-and-fall-of-australias-engagement-with-asia/,How Canberra’s foreign-policy-boffins engineered an extinction-level-defeat – how AUKUS may be the final-chapter in the rise-and-fall of Australia’s-engagement-with-Asia,
Thoughts,https://www.foodstar.com.au/one-will-keep-the-peace-the-other-can-barely-march-to-the-tune/,One will keep the peace – the other can barely march-to-the-tune,
Americas,https://www.foodstar.com.au/strategy-without-production-is-just-a-sketch-a-commentary-on-indonesias-rejection-of-u-s-trade-overtures-and-the-deeper-shift-in-global-power/,Strategy-without-production is just a sketch – a commentary on Indonesia’s rejection of U.S.-trade-overtures and the deeper-shift in global-power,
MiddleEast,https://www.foodstar.com.au/israel-claims-air-superiority-over-iran-according-to-the-idf-dozens-of-israeli-fighter-jets-have-been-flying-over-tehran-with-minimal-resistance-striking-targets-with-impunity/,Israel claims air-superiority over Iran – according to the IDF dozens of Israeli-fighter-jets have been flying-over-Tehran with minimal-resistance – striking-targets with impunity,
Thoughts,https://www.foodstar.com.au/the-empire-of-steam-is-dead-the-empire-of-oil-is-dying-the-next-empire-runs-on-rare-earths-renewables-robots-and-rice/,The-empire-of-steam is dead – the-empire-of-oil is dying – the-next-empire runs on rare-earths / renewables / robots / rice,
AU-Life,https://www.foodstar.com.au/⚖️-perth-common-law-court-sentences-scott-morrison-to-30-years-imprisonment-for-offences-linked-to-australias-covid-19-response/,⚖️ Perth “Common-Law-Court” sentences Scott-Morrison to 30-years-imprisonment for offences-linked-to-Australia’s-COVID-19-response,
AU-Life,https://www.foodstar.com.au/🇦🇺⚓️💥-australia-just-outsourced-its-security-future-to-a-country-🇬🇧-whose-1-export-isnt-missiles-chips-or-gas-it/,🇦🇺⚓️💥 Australia just outsourced its security-future to a country 🇬🇧 whose #1-export isn’t missiles / chips / gas – it,
AU-Life,https://www.foodstar.com.au/🇦🇺-australias-two-front-foreign-policy-strangulation-jerusalem-in-the-indonesian-direction-rudd-in-washington/,🇦🇺 Australia’s two-front foreign-policy-strangulation – Jerusalem in the Indonesian-direction / Rudd in Washington,
AU-Life,https://www.foodstar.com.au/🚨43-000-folks-rock-up-to-march-for-australia-rally-this-weekend-👮‍♂️victoria-police-capacity-will-be-exhausted/,🚨43 000 folks rock-up to March-for-Australia rally this weekend – 👮‍♂️Victoria-Police capacity will be exhausted,
AU-Life,https://www.foodstar.com.au/📊-rupert-murdoch-is-the-24th-most-read-australian-page-on-wikipedia-anthony-albanese-is-162nd-that-138-place-chasm-tells-you-more-about-the-country-than-any-poll/,📊 Rupert-Murdoch is the 24th-most-read Australian-page on Wikipedia – Anthony-Albanese is 162nd – that 138-place-chasm tells you more about the country than any poll,
EU,https://www.foodstar.com.au/🏺-the-unravelling-of-germanys-economic-model-and-what-it-means-for-europe/,🏺 The unravelling of Germany’s economic-model and what it means for Europe,
China,https://www.foodstar.com.au/⚡-the-real-win-of-made-in-china-2025-not-a-single-product-but-the-lock-in-of-the-entire-electric-stack/,⚡ The real-win of “Made-in-China-2025” – not a single-product but the lock-in of the entire-electric-stack,
AU-Politics,https://www.foodstar.com.au/🔥-julie-bishop-and-the-morrison-playbook-is-anu-heading-the-way-of-the-liberal-party/,🔥 Julie-Bishop and the Morrison-playbook – is ANU heading the way of the Liberal-Party?,
Americas,https://www.foodstar.com.au/🛡️️-fortress-diplomacy-the-rising-cost-of-americas-bunker-embassies/,🛡️️ Fortress-diplomacy – the rising-cost of America’s bunker-embassies,
Thoughts,https://www.foodstar.com.au/🎪-jim-chalmers-goldfish-bowl-the-productivity-summit/,🎪 Jim-Chalmers’ goldfish-bowl – the Productivity-Summit,
India,https://www.foodstar.com.au/⚔️-why-modi-might-feel-forced-into-a-war-before-the-caatsa-hammer-falls/,⚔️ Why Modi might feel forced into a war before the CAATSA-hammer falls,
Americas,https://www.foodstar.com.au/💥-thorpe-says-burn-down-parliament-house-nation-pretends-to-be-shocked/,💥 Thorpe says “burn-down Parliament-House” – nation pretends-to-be-shocked,
Americas,https://www.foodstar.com.au/🔥-trumps-tariff-fluster-has-triggered-sp500-market-losses-matching-covid-19s-worst-days/,🔥 Trump’s-tariff-fluster has triggered S&P500 market-losses matching COVID-19’s worst-days,
AU-Life,https://www.foodstar.com.au/🇦🇺-australian-media-whos-who-2025/,🇦🇺 Australian-media who’s-who 2025,
China,https://www.foodstar.com.au/⚡-tesla-china-supply-chain-manufacturing-battery-production-network/,⚡ Tesla-China-supply-chain – manufacturing / battery-production-network,
AU-Politics,https://www.foodstar.com.au/🏛️-the-liberal-circular-referencing-loop-how-every-independent-news-piece-you-read-secretly-quotes-itself/,🏛️ The liberal-circular-referencing-loop – how every “independent” news-piece you read secretly quotes itself,
Thoughts,https://www.foodstar.com.au/🏆-darwin-awards-for-defence-procurement-2005-2025-honouring-those-who-spent-billions-of-taxpayer-achieved-less-than-stellar-results/,🏆 Darwin-Awards for Defence-procurement 2005-2025 – honouring those who spent billions-of-taxpayer & achieved less-than-stellar-results,
AU-Life,https://www.foodstar.com.au/⚖️-perth-common-law-court-sentences-scott-morrison-to-30-years-imprisonment-for-offences-linked-to-australias-covid-19-response/,⚖️ Perth “Common-Law-Court” sentences Scott-Morrison to 30-years-imprisonment for offences-linked-to-Australia’s-COVID-19-response,
AU-Life,https://www.foodstar.com.au/🇦🇺⚓️💥-australia-just-outsourced-its-security-future-to-a-country-🇬🇧-whose-1-export-isnt-missiles-chips-or-gas-it/,🇦🇺⚓️💥 Australia just outsourced its security-future to a country 🇬🇧 whose #1-export isn’t missiles / chips / gas – it,
AU-Life,https://www.foodstar.com.au/🇦🇺-australias-two-front-foreign-policy-strangulation-jerusalem-in-the-indonesian-direction-rudd-in-washington/,🇦🇺 Australia’s two-front foreign-policy-strangulation – Jerusalem in the Indonesian-direction / Rudd in Washington,
AU-Life,https://www.foodstar.com.au/🚨43-000-folks-rock-up-to-march-for-australia-rally-this-weekend-👮‍♂️victoria-police-capacity-will-be-exhausted/,🚨43 000 folks rock-up to March-for-Australia rally this weekend – 👮‍♂️Victoria-Police capacity will be exhausted,
AU-Life,https://www.foodstar.com.au/📊-rupert-murdoch-is-the-24th-most-read-australian-page-on-wikipedia-anthony-albanese-is-162nd-that-138-place-chasm-tells-you-more-about-the-country-than-any-poll/,📊 Rupert-Murdoch is the 24th-most-read Australian-page on Wikipedia – Anthony-Albanese is 162nd – that 138-place-chasm tells you more about the country than any poll,
EU,https://www.foodstar.com.au/🏺-the-unravelling-of-germanys-economic-model-and-what-it-means-for-europe/,🏺 The unravelling of Germany’s economic-model and what it means for Europe,
China,https://www.foodstar.com.au/⚡-the-real-win-of-made-in-china-2025-not-a-single-product-but-the-lock-in-of-the-entire-electric-stack/,⚡ The real-win of “Made-in-China-2025” – not a single-product but the lock-in of the entire-electric-stack,
AU-Politics,https://www.foodstar.com.au/🔥-julie-bishop-and-the-morrison-playbook-is-anu-heading-the-way-of-the-liberal-party/,🔥 Julie-Bishop and the Morrison-playbook – is ANU heading the way of the Liberal-Party?,
Americas,https://www.foodstar.com.au/🛡️️-fortress-diplomacy-the-rising-cost-of-americas-bunker-embassies/,🛡️️ Fortress-diplomacy – the rising-cost of America’s bunker-embassies,
Thoughts,https://www.foodstar.com.au/🎪-jim-chalmers-goldfish-bowl-the-productivity-summit/,🎪 Jim-Chalmers’ goldfish-bowl – the Productivity-Summit,
India,https://www.foodstar.com.au/⚔️-why-modi-might-feel-forced-into-a-war-before-the-caatsa-hammer-falls/,⚔️ Why Modi might feel forced into a war before the CAATSA-hammer falls,
Americas,https://www.foodstar.com.au/💥-thorpe-says-burn-down-parliament-house-nation-pretends-to-be-shocked/,💥 Thorpe says “burn-down Parliament-House” – nation pretends-to-be-shocked,
Americas,https://www.foodstar.com.au/🔥-trumps-tariff-fluster-has-triggered-sp500-market-losses-matching-covid-19s-worst-days/,🔥 Trump’s-tariff-fluster has triggered S&P500 market-losses matching COVID-19’s worst-days,
AU-Life,https://www.foodstar.com.au/🇦🇺-australian-media-whos-who-2025/,🇦🇺 Australian-media who’s-who 2025,
China,https://www.foodstar.com.au/⚡-tesla-china-supply-chain-manufacturing-battery-production-network/,⚡ Tesla-China-supply-chain – manufacturing / battery-production-network,
AU-Politics,https://www.foodstar.com.au/🏛️-the-liberal-circular-referencing-loop-how-every-independent-news-piece-you-read-secretly-quotes-itself/,🏛️ The liberal-circular-referencing-loop – how every “independent” news-piece you read secretly quotes itself,
Thoughts,https://www.foodstar.com.au/🏆-darwin-awards-for-defence-procurement-2005-2025-honouring-those-who-spent-billions-of-taxpayer-achieved-less-than-stellar-results/,🏆 Darwin-Awards for Defence-procurement 2005-2025 – honouring those who spent billions-of-taxpayer & achieved less-than-stellar-results,
Americas,https://www.foodstar.com.au/us-space-program-suffered-two-failures-in-one-day/,US space-program suffered two failures in one day,
Americas,https://www.foodstar.com.au/the-percentage-of-americans-who-have-traveled-outside-of-north-america-is-estimated-to-be-around-15-20-of-the-population-80-85-of-americans-just-dont-give-fck-about-ukr-aus-eu-china/,The percentage of Americans who have travelled outside of North-America is estimated to be around 15-20 % of the population – 80-85 % of Americans just don’t give fck about UKR / AUS / EU / China,
Thoughts,https://www.foodstar.com.au/trump-wants-to-have-a-twin-engine-version-of-the-f-35-dubbing-it-the-f-55-itll-be-similar-to-the-chinese-j-35-which-is-in-production/,Trump wants to have a twin-engine version of the F-35 – dubbing it the F-55 – it’ll be similar to the Chinese J-35 which is in-production,
AsiaPacific,https://www.foodstar.com.au/many-might-find-it-surprising-but-its-north-korea-that-seems-poised-to-outlast-the-unipolar-moment-while-south-korea-risks-fading-into-obsolescence/,Many might find it surprising – but it’s North-Korea that seems poised to outlast the unipolar-moment – while South-Korea risks fading-into-obsolescence,
Americas,https://www.foodstar.com.au/musk-is-upset-starship-789-failed-for-mars-he-needs-a-space-station-like-tiangong-that-can-stay-in-the-orbit-of-mars-while-a-smaller-vessel-lands-not-a-all-in-1-starship/,Musk is upset Starship-789 failed for Mars – he needs a space-station like Tiangong that can stay-in-the-orbit-of-Mars while a smaller-vessel-lands – not an all-in-1-Starship,
Americas,https://www.foodstar.com.au/mexican-immigrants-to-the-us-have-often-been-scapegoated-during-economic-downturns-this-is-not-just-a-coincidence-but-has-deep-rooted-economic-racial-political-factors/,Mexican-immigrants to the US have often been scapegoated during economic-downturns – this is not just a coincidence but has deep-rooted economic / racial / political-factors,
Americas,https://www.foodstar.com.au/cuban-immigrants-to-the-us-were-welcomed-as-political-refugees-mexicans-have-been-scapegoated-as-economic-refugees-its-time-for-mexico-to-declare-itself-a-socialist-republic/,Cuban-immigrants to the US were welcomed as political-refugees – Mexicans have been scapegoated as economic-refugees – it’s time for Mexico to declare-itself-a-socialist-republic,
Americas,https://www.foodstar.com.au/the-end-of-illusions-american-power-in-an-age-of-limits-the-us-is-not-a-god-it-does-not-operate-outside-the-laws-of-physics-economics-or-history/,The-end-of-illusions – American-power in an age-of-limits – the US is not a god – it does-not-operate-outside-the-laws-of-physics / economics / history,
Americas,https://www.foodstar.com.au/americas-deliberate-war-against-high-speed-rail-how-broken-social-contracts-and-oil-addiction-crush-any-possibility-of-efficient-public-transit/,America’s deliberate-war-against high-speed-rail – how broken-social-contracts and oil-addiction crush any possibility of efficient-public-transit,
Thoughts,https://www.foodstar.com.au/❄️-ais-next-frontier-the-arctic-is-rapidly-emerging-as-the-worlds-most-critical-battleground-for-ai-supremacy-far-beyond-its-historic-roles-in-oil-gas-shippin/,❄️ AI’s next-frontier – the Arctic is rapidly-emerging as the world’s most-critical-battleground for AI-supremacy – far-beyond its historic-roles in oil / gas / shippin,
Americas,https://www.foodstar.com.au/⚛️the-empire-of-compute-how-ai-and-electricity-are-redrawing-global-power-finance-died-in-2008-hollywood-died-in-2019-the-american-empires-final-frontier-is-built-not-on-gold-or-glamour-but-on-gigawatts/,⚛️The-empire-of-compute – how AI and electricity are redrawing global-power – Finance-died-in-2008 / Hollywood-died-in-2019 – the American-empire’s-final-frontier is built not on gold or glamour but on gigawatts,
Americas,https://www.foodstar.com.au/new-usdt-debt-ponzi-powered-by-materials-not-gadgets/,New-USDT-debt-Ponzi – powered by materials not gadgets,
Americas,https://www.foodstar.com.au/they-taught-our-leaders-to-surrender-to-china-opened-our-borders-and-poisoned-our-childrens-minds-harvard-is-the-cathedral-of-american-decline-trump-rally-2027-why-har/,They taught our leaders to surrender to China / opened our borders / poisoned our-children’s-minds – Harvard is the cathedral of American-decline – Trump-rally-2027 – why Har,
